x,y,elevation,occupancy,resolution,importance,semantic_class,semantic_source,confidence,point_count,region_id
-34.98336410522461,-64.92623901367188,-0.009900277480483055,1.0,0.2,0.38374614017104136,unknown,fallback,0.0,1,0
-30.791479110717773,-68.2314682006836,-3.4985408782958984,1.0,0.2,0.3804274372328178,unknown,fallback,0.0,1,1
-28.83648109436035,3.713472843170166,-0.023775627836585045,1.0,0.1,0.5177761918845475,unknown,fallback,0.0,1,2
-28.223861312866212,9.317585563659668,-0.019895296171307565,1.0,0.1,0.5158416537126495,unknown,fallback,0.0,5,3
-28.167924880981445,10.444957733154297,-0.019176077097654343,1.0,0.1,0.5148736320085406,unknown,fallback,0.0,1,4
-25.327029546101887,-52.28988265991211,-2.2595121463139853,1.0,0.1,0.45600397092994727,unknown,fallback,0.0,3,5
-24.070999145507812,-50.5573844909668,-1.9584415555000305,1.0,0.1,0.46276660576957285,unknown,fallback,0.0,2,6
-23.20079517364502,-52.17934036254883,-2.0057762265205383,1.0,0.1,0.4609433685141896,unknown,fallback,0.0,2,7
-23.729063034057617,-50.24351119995117,-2.5969319343566895,1.0,0.2,0.43830474016467924,unknown,fallback,0.0,1,8
-23.79538345336914,-39.773433685302734,-3.2443313598632812,1.0,0.1,0.46595570235601735,unknown,fallback,0.0,1,9
-20.53310489654541,-52.157583236694336,-1.308893084526062,1.0,0.2,0.43691033844406624,unknown,fallback,0.0,2,10
-21.465064366658527,-51.43231074015299,-1.3013092279434204,1.0,0.2,0.4379728124543478,unknown,fallback,0.0,3,11
-18.972227096557617,-53.24204126993815,-1.3200227816899617,1.0,0.2,0.43584506359623576,unknown,fallback,0.0,6,12
-19.848840713500977,-51.725223541259766,-1.2937456369400024,1.0,0.2,0.4387914651632804,unknown,fallback,0.0,1,13
-18.351311683654785,-1.4731440544128418,-1.2876611351966858,1.0,0.1,0.5497769162355318,unknown,fallback,0.0,2,14
-18.556593894958496,1.8629852533340454,-0.8934563100337982,1.0,0.1,0.5490805217810093,unknown,fallback,0.0,2,15
-18.362202644348145,2.4915720224380493,-0.8879439234733582,1.0,0.1,0.5494252554020037,unknown,fallback,0.0,2,16
