frame_id,file,condition,success,failure,failure_reason,exception_type,stage_of_failure
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,original,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,dropout_5pct,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,dropout_10pct,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,dropout_20pct,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,dropout_30pct,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,sparse_75pct,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,sparse_50pct,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,sparse_25pct,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,noise_low,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,noise_medium,True,False,,,
5991fad3280c4f84b331536c32001a04,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,noise_high,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,original,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,dropout_5pct,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,dropout_10pct,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,dropout_20pct,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,dropout_30pct,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,sparse_75pct,True,False,,,
6d1d793b68b24165be5755a54054c82a,6d1d793b68b24165be5755a54054c82a_LIDAR_TOP_xyzi.npy,sparse_50pct,True,False,,,
